canonical_form,etymology,origin_language,brief,source_text,significance
Sophia,Wisdom,Greek,Fallen divine aeon whose error created the material world,Apocryphon of John; Pistis Sophia,PKD's theology heavily draws on Sophia as trapped divine wisdom
Yaldabaoth,Child of chaos,Aramaic/Hebrew,Blind demiurge who created the flawed material world,Apocryphon of John,PKD identifies the demiurge with the Black Iron Prison's architect
Demiurge,Public craftsman,Greek (demiourgos),Creator god of the material world; blind or malevolent in Gnosticism,Plato's Timaeus; Gnostic texts,Central to PKD's theology: the false god who maintains the prison
Abraxas,Unknown; possibly from Abrasax,Greek/Coptic,Supreme cosmic power containing all opposites; numerological deity,Gnostic gems; Basilides,Referenced in PKD's discussions of cosmic totality beyond good and evil
Barbelo,Unknown; possibly God in Four,Coptic/Hebrew,First emanation of the divine; divine feminine,Apocryphon of John,Part of PKD's engagement with Sethian Gnostic cosmology
Valentinus,Strong/healthy,Latin,2nd century Gnostic teacher; founder of Valentinian school,Fragments; Irenaeus,PKD engaged deeply with Valentinian theology and its emanation system
Basilides,Royal,Greek,2nd century Gnostic teacher in Alexandria,Fragments; Hippolytus,Referenced in PKD's discussions of Gnostic cosmology
Marcion,Unknown,Greek/Latin,2nd century theologian who rejected the Old Testament God,Tertullian's Against Marcion,PKD engaged with Marcion's radical dualism between creator and true God
Mani,Jewel/precious one,Aramaic,3rd century prophet; founder of Manichaeism,Manichaean texts,PKD drew on Manichaean cosmic dualism of light versus darkness
Nag Hammadi,Place name,Arabic,Egyptian town where Gnostic library was discovered in 1945,Nag Hammadi Library,PKD was deeply influenced by the Nag Hammadi texts discovered in his lifetime
Nous,Mind/intellect,Greek,Divine mind; first emanation in some Gnostic systems,Hermetic texts; Plotinus,PKD uses Nous as the cosmic intellect that breaks through
Pleroma,Fullness,Greek,The divine realm of light; totality of divine emanations,Valentinian texts,PKD contrasts the Pleroma with the kenoma (void) of fallen reality
Archon,Ruler,Greek,Cosmic rulers who imprison divine sparks in matter,Gnostic texts,PKD's concept of political/cosmic oppressors draws on archon mythology
