canonical_form,etymology,origin_language,brief,source_text,significance
Elijah,My God is Yahweh,Hebrew,Prophet who ascended to heaven in a chariot of fire,1 Kings 17-19; 2 Kings 1-2,PKD identified with Elijah as a prophetic voice; connected to fiery ascent imagery
Jesus,Yahweh saves,Hebrew/Aramaic,Central figure of Christianity; teacher and messiah,Gospels,Core of PKD's christological theology in the Exegesis
Christ,Anointed one,Greek (Christos),Title for the messiah; the anointed,New Testament,PKD's theology centers on the living Christ as cosmic principle
St. Paul,Small/humble,Latin (Paulus),Apostle who received vision on road to Damascus,Acts 9; Pauline Epistles,PKD saw parallels between Paul's Damascus vision and his own 2-3-74 experience
Sophia,Wisdom,Greek,Divine wisdom personified as feminine principle,Proverbs 8; Wisdom of Solomon,Central to PKD's Gnostic theology as salvific feminine divine presence
Daniel,God is my judge,Hebrew,Prophet and interpreter of dreams in Babylon,Book of Daniel,Dream interpretation parallels PKD's visionary claims
John of Patmos,God is gracious,Hebrew (Yohanan),Author of Revelation; exiled visionary,Revelation,PKD saw himself as a modern apocalyptic visionary in this tradition
Moses,Drawn from water,Hebrew/Egyptian,Lawgiver and prophet who led Exodus,Exodus; Deuteronomy,Referenced in PKD's discussions of divine law and theophany
Adam,Man/earth,Hebrew (adamah),First human in Genesis creation narrative,Genesis 1-3,PKD uses Adam in discussions of the Fall and original human nature
Eve,Life/living,Hebrew (Havvah),First woman; tempted by serpent,Genesis 2-3,Referenced in PKD's discussions of knowledge and the Fall
Satan,Adversary,Hebrew,Cosmic antagonist; the accuser,Job; Isaiah 14; Revelation,PKD's theology of evil and the Black Iron Prison
Simon Magus,Hearing/hearkening,Hebrew (Shimon),Samaritan magician in Acts; proto-Gnostic figure,Acts 8:9-24,Key Gnostic precursor figure discussed in PKD's theological investigations
Mary Magdalene,Of Magdala,Hebrew/Aramaic,Follower of Jesus; witness to resurrection,Gospels,Referenced in PKD's discussions of feminine spiritual authority
Ezekiel,God strengthens,Hebrew,Prophet of visions; merkabah mysticism,Book of Ezekiel,PKD references Ezekiel's throne-chariot visions
Isaiah,Salvation of God,Hebrew,Major prophet; visionary,Book of Isaiah,Referenced in PKD's discussions of prophecy and apocalypse
