canonical_form,etymology,origin_language,brief,source_text,significance
Spinoza,From Espinosa (thorny),Portuguese/Hebrew,17th century rationalist; God as Nature (Deus sive Natura),Ethics,PKD engages with Spinoza's pantheism and substance monism
Hegel,Unknown,German,19th century idealist; dialectical progression of Spirit,Phenomenology of Spirit; Logic,PKD uses Hegelian dialectic in his theology of thesis-antithesis-synthesis
Whitehead,Descriptive surname,English,20th century process philosopher; reality as events not substances,Process and Reality,PKD's process theology draws on Whitehead's dynamic metaphysics
Tillich,Unknown,German,20th century theologian; God as ground of being,Systematic Theology,PKD draws on Tillich's existential theology and the concept of ultimate concern
Schopenhauer,Unknown,German,19th century pessimist; world as will and representation,World as Will and Representation,PKD engages with Schopenhauerian pessimism and the veil of Maya
Leibniz,Unknown,German,17th century rationalist; monads and pre-established harmony,Monadology,PKD references Leibniz on possible worlds and the best of all possible worlds
Kant,Unknown,German,18th century critical philosopher; phenomena vs. noumena,Critique of Pure Reason,PKD's distinction between apparent and true reality echoes Kantian categories
Meister Eckhart,Master Eckhart,German,14th century Christian mystic; Godhead beyond God,Sermons; Treatises,PKD deeply influenced by Eckhart's apophatic mysticism and the ground of the soul
Jakob Boehme,Unknown,German,17th century Christian mystic and theosopher,Aurora; Mysterium Magnum,PKD draws on Boehme's vision of divine darkness and the Ungrund
Giordano Bruno,Unknown,Italian,16th century philosopher burned for heresy; infinite worlds,De l'infinito,PKD references Bruno's cosmic pluralism and martyrdom for truth
Teilhard de Chardin,Unknown,French,20th century Jesuit paleontologist; Omega Point theology,The Phenomenon of Man,PKD's concept of evolving cosmic consciousness parallels Teilhard's noosphere
William James,Unknown,English,Pragmatist philosopher; varieties of religious experience,Varieties of Religious Experience,PKD references James on mystical states and the empirical study of religion
Henri Bergson,Unknown,French,20th century vitalist philosopher; creative evolution and duration,Creative Evolution; Time and Free Will,PKD engages with Bergsonian duration and intuition vs. intellect
Wittgenstein,Unknown,German/Austrian,20th century philosopher of language and logic,Tractatus; Philosophical Investigations,Referenced in PKD's discussions of the limits of language for expressing reality
